Label,Damage Descriptions
3,Toppled building with 11 stories and one-story basement.
3,The base three floors collapsed.
3,The base three floors were the bank. The above floors were residential units and not occupied.
3,The toppled building is leaning on the two-story old building next to it.
3,Toppled building with 17 stories and one-story basement.
3,The south wing broke between 2F and 3F.
3,The southwest corner column at 1F.
3,Break section of the south wing.
3,Break section of the north wing.
3,Exposed column reinforcing bars at the north break section.
3,Column reinforcing bars appear to break at the couplers.
3,Beam reinforcing bars seem not properly anchored.
3,90-degree bend hooks and water pipes  embedded in the column.
3,The outer walls of the staircase seem to be non-structural.
3,Oil cans embedded in the concrete were used as inside formwork for non-structural facade. The actual beam is behind those cans.
3,The ground floor of the 3-story (plus 1-story of rooftop addition) street building collapsed. The upper floors were mostly intact. The owner was demolishing the front part for safety reason.
3,The 37-year-old building used single wythe URM walls as outer walls and partitions in RC frames.
3,"The 2nd, 3rd, and the additional 4th floors sit on the car parked at the ground floor."
3,The 2+1F buildings at the left side were built at the same time and they are intact.
3,The ground floor of the 4-story building collapsed.
3,The ground floor was a market with almost no walls. The upper floors are residential units.
3,The staircase was sheared by an inclined crack. The corner of the building collapsed at the 2nd floor.
3,The other side around the corner.
3,The left building next to the market is still standing.
3,Shear cracks appeared on several columns of the standing building.
3,The base of the arcade columns were damaged by bending.
3,The building arcade was originally cantilevered. Columns were added to the corner at 2013.
3,Lateral shear cracks appeared on the originally cantilevered beam end.
2,The 3-story office building is about 30 years old. It was designed in accordance with a standard plan that has almost no walls in the longitudinal direction.
2,Shear cracks were found in almost every column in the base floor.
2,Shear cracks were found in almost every column in the base floor.
2,The in-filled single wythe URM panel cracked along the column-panel interface and the pipe embedded.
2,Shear cracks were found in almost every column in the base floor.
2,The back elevation.
3,The ground floor of the 2-story building collapsed.
3,The ground floor was a market. The second floor was residential.
3,The ground floor was a market. The second floor was residential.
3,Exposed steel reinforcements in the sheared column top shows a large hoop spacing (about 250 mm)
3,The beam looks not damaged.
3,The gable and the side wall of the single-story URM house separated from the roof and collapsed on a car.
3,The roof was supported with bamboos. There appears to be no anchorage between the bamboo and the wall. Traditional URM houses in Taiwan usually use timber beams with iron anchors.
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
2,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building. Collapse of column."
3,"Marketplace partial collapse, 4 story building. Column collapse"
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building. Column collapse"
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
